2022-04-17 20:41:51,004 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-17 20:41:51,031 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-17 20:41:51,032 | bot | INFO | Bot Subclass Created.
2022-04-17 20:41:51,034 | bot | INFO | Cog loaded: OCPcommands
2022-04-17 20:41:51,035 | bot | INFO | Cog loaded: CPcommands
2022-04-17 20:41:51,037 | bot | INFO | Cog loaded: AdminCommands
2022-04-17 20:41:51,039 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-17 20:41:51,040 | bot | INFO | Cog loaded: ErrorHandler
2022-04-18 01:26:49,166 | main | INFO | Starting program...
2022-04-18 01:26:49,168 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-18 01:26:49,197 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-18 01:26:49,198 | bot | INFO | Bot Subclass Created.
2022-04-18 01:26:49,203 | bot | INFO | Cog loaded: AdminCommands
2022-04-18 01:26:49,205 | bot | INFO | Cog loaded: OCPcommands
2022-04-18 01:26:49,206 | bot | INFO | Cog loaded: CPcommands
2022-04-18 01:26:49,208 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-18 01:26:49,249 | bot | INFO | Cog loaded: ErrorHandler
2022-04-18 11:26:55,442 | main | INFO | Starting program...
2022-04-18 11:26:55,444 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-18 11:26:55,472 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-18 11:26:55,473 | bot | INFO | Bot Subclass Created.
2022-04-18 11:26:55,477 | bot | INFO | Cog loaded: AdminCommands
2022-04-18 11:26:55,521 | bot | INFO | Cog loaded: CPcommands
2022-04-18 11:26:55,523 | bot | INFO | Cog loaded: OCPcommands
2022-04-18 11:26:55,525 | bot | INFO | Cog loaded: ErrorHandler
2022-04-18 11:26:55,529 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-18 17:57:45,758 | main | INFO | Starting program...
2022-04-18 17:57:45,760 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-18 17:57:45,853 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-18 17:57:45,853 | bot | INFO | Bot Subclass Created.
2022-04-18 17:57:45,856 | bot | INFO | Cog loaded: ErrorHandler
2022-04-18 17:57:45,864 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-18 17:57:45,868 | bot | INFO | Cog loaded: AdminCommands
2022-04-18 17:57:45,869 | bot | INFO | Cog loaded: CPcommands
2022-04-18 17:57:45,871 | bot | INFO | Cog loaded: OCPcommands
2022-04-18 21:57:44,473 | main | INFO | Starting program...
2022-04-18 21:57:44,474 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-18 21:57:44,500 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-18 21:57:44,501 | bot | INFO | Bot Subclass Created.
2022-04-18 21:57:44,552 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-18 21:57:44,553 | bot | INFO | Cog loaded: ErrorHandler
2022-04-18 21:57:44,555 | bot | INFO | Cog loaded: OCPcommands
2022-04-18 21:57:44,557 | bot | INFO | Cog loaded: AdminCommands
2022-04-18 21:57:44,559 | bot | INFO | Cog loaded: CPcommands
2022-04-19 03:13:52,514 | main | INFO | Starting program...
2022-04-19 03:13:52,521 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-19 03:13:52,631 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-19 03:13:52,632 | bot | INFO | Bot Subclass Created.
2022-04-19 03:13:52,649 | bot | INFO | Cog loaded: AdminCommands
2022-04-19 03:13:52,654 | bot | INFO | Cog loaded: OCPcommands
2022-04-19 03:13:52,661 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-19 03:13:52,670 | bot | INFO | Cog loaded: ErrorHandler
2022-04-19 03:13:52,679 | bot | INFO | Cog loaded: CPcommands
2022-04-19 05:12:47,190 | main | INFO | Starting program...
2022-04-19 05:12:47,191 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-19 05:12:47,231 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-19 05:12:47,232 | bot | INFO | Bot Subclass Created.
2022-04-19 05:12:47,234 | bot | INFO | Cog loaded: ErrorHandler
2022-04-19 05:12:47,236 | bot | INFO | Cog loaded: CPcommands
2022-04-19 05:12:47,247 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-19 05:12:47,250 | bot | INFO | Cog loaded: AdminCommands
2022-04-19 05:12:47,251 | bot | INFO | Cog loaded: OCPcommands
2022-04-19 15:12:44,271 | main | INFO | Starting program...
2022-04-19 15:12:44,272 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-19 15:12:44,329 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-19 15:12:44,331 | bot | INFO | Bot Subclass Created.
2022-04-19 15:12:44,335 | bot | INFO | Cog loaded: AdminCommands
2022-04-19 15:12:44,338 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-19 15:12:44,339 | bot | INFO | Cog loaded: CPcommands
2022-04-19 15:12:44,340 | bot | INFO | Cog loaded: ErrorHandler
2022-04-19 15:12:44,342 | bot | INFO | Cog loaded: OCPcommands
2022-04-20 01:57:52,515 | main | INFO | Starting program...
2022-04-20 01:57:52,518 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-20 01:57:52,584 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-20 01:57:52,585 | bot | INFO | Bot Subclass Created.
2022-04-20 01:57:52,594 | bot | INFO | Cog loaded: CPcommands
2022-04-20 01:57:52,601 | bot | INFO | Cog loaded: OCPcommands
2022-04-20 01:57:52,607 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-20 01:57:52,608 | bot | INFO | Cog loaded: ErrorHandler
2022-04-20 01:57:52,612 | bot | INFO | Cog loaded: AdminCommands
2022-04-20 05:27:48,249 | main | INFO | Starting program...
2022-04-20 05:27:48,253 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-20 05:27:48,353 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-20 05:27:48,354 | bot | INFO | Bot Subclass Created.
2022-04-20 05:27:48,357 | bot | INFO | Cog loaded: CPcommands
2022-04-20 05:27:48,373 | bot | INFO | Cog loaded: AdminCommands
2022-04-20 05:27:48,375 | bot | INFO | Cog loaded: ErrorHandler
2022-04-20 05:27:48,379 | bot | INFO | Cog loaded: OCPcommands
2022-04-20 05:27:48,383 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-20 21:13:45,467 | main | INFO | Starting program...
2022-04-20 21:13:45,471 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-20 21:13:45,762 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-20 21:13:45,767 | bot | INFO | Bot Subclass Created.
2022-04-20 21:13:45,803 | bot | INFO | Cog loaded: AdminCommands
2022-04-20 21:13:45,837 | bot | INFO | Cog loaded: OCPcommands
2022-04-20 21:13:45,862 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-20 21:13:45,883 | bot | INFO | Cog loaded: CPcommands
2022-04-20 21:13:45,893 | bot | INFO | Cog loaded: ErrorHandler
2022-04-21 01:12:39,940 | main | INFO | Starting program...
2022-04-21 01:12:39,941 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-21 01:12:39,964 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-21 01:12:39,965 | bot | INFO | Bot Subclass Created.
2022-04-21 01:12:39,968 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-21 01:12:39,969 | bot | INFO | Cog loaded: AdminCommands
2022-04-21 01:12:39,970 | bot | INFO | Cog loaded: CPcommands
2022-04-21 01:12:39,971 | bot | INFO | Cog loaded: ErrorHandler
2022-04-21 01:12:39,972 | bot | INFO | Cog loaded: OCPcommands
